Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Round,Status
Sarvepalli,119,CHANDRA MOHAN REDDY SOMIREDDY,Telugu Desami,KAKANI GOVARDHAN REDDY,"Yuvajana Sramika Rythu Congress Party
i",16288,21/21,Result Declared
Sattenapalle,98,KANNA LAKSHMINARAYANA,Telugu Desami,AMBATI RAMBABU,"Yuvajana Sramika Rythu Congress Party
i",27836,21/21,Result Declared
Satyavedu,169,KONETI ADIMULAM,Telugu Desami,NUKATHOTI RAJESH,"Yuvajana Sramika Rythu Congress Party
i",3739,20/20,Result Declared
Singanamala (SC),152,BANDARU SRAVANI SREE,Telugu Desami,M.VEERANJANEYULU,"Yuvajana Sramika Rythu Congress Party
i",8788,22/22,Result Declared
Srikakulam,5,GONDU SHANKAR,Telugu Desami,DHARMANA PRASADA RAO,"Yuvajana Sramika Rythu Congress Party
i",52521,20/20,Result Declared
Srikalahasti,168,BOJJALA VENKATA SUDHIR REDDY,Telugu Desami,BIYYAPU MADHUSUDHAN REDDY,"Yuvajana Sramika Rythu Congress Party
i",43304,21/21,Result Declared
Srisailam,135,BUDDA RAJASEKHARA REDDY,Telugu Desami,SILPA CHAKRAPANI REDDY,"Yuvajana Sramika Rythu Congress Party
i",6385,23/23,Result Declared
Srungavarapukota,19,KOLLA LALITHA KUMARI,Telugu Desami,KADUBANDI SRINIVASA RAO,"Yuvajana Sramika Rythu Congress Party
i",38790,21/21,Result Declared
Sullurpeta,121,NELAVALA VIJAYASREE,Telugu Desami,KILIVETI SANJEEVAIAH,"Yuvajana Sramika Rythu Congress Party
i",29115,22/22,Result Declared
Tadepalligudem,62,BOLISETTY SRINIVAS,Janasena Partyi,KOTTU SATYANARAYANA,"Yuvajana Sramika Rythu Congress Party
i",62492,15/15,Result Declared
Tadikonda (SC),86,TENALI SRAVAN KUMAR,Telugu Desami,SUCHARITHA MEKATHOTI,"Yuvajana Sramika Rythu Congress Party
i",39606,18/18,Result Declared
Tadpatri,151,ASHMIT REDDY J.C,Telugu Desami,KETHIREDDY PEDDAREDDY,"Yuvajana Sramika Rythu Congress Party
i",27731,20/20,Result Declared
Tanuku,61,ARIMILLI RADHA KRISHNA,Telugu Desami,KARUMURI VENKATA NAGESWARA RAO,"Yuvajana Sramika Rythu Congress Party
i",72121,17/17,Result Declared
Tekkali,3,ATCHANNAIDU KINJARAPU,Telugu Desami,DUVVADA SRINIVAS,"Yuvajana Sramika Rythu Congress Party
i",34435,24/24,Result Declared
Tenali,91,NADENDLA MANOHAR,Janasena Partyi,ANNABATHUNI SIVAKUMAR,"Yuvajana Sramika Rythu Congress Party
i",48112,21/21,Result Declared
Thamballapalle,162,P. DWARAKANATHA REDDY,Yuvajana Sramika Rythu Congress Partyi,D. JAYACHANDRA REDDY,"Telugu Desam
i",10103,18/18,Result Declared
Tirupati,167,ARANII SRENEVASULU,Janasena Partyi,BHUMANA ABHINAY,"Yuvajana Sramika Rythu Congress Party
i",61956,20/20,Result Declared
Tiruvuru (SC),69,KOLIKAPUDI SRINIVASA RAO,Telugu Desami,NALLAGATLA SWAMY DAS,"Yuvajana Sramika Rythu Congress Party
i",21874,18/18,Result Declared
